Filename,pvalue_BUSTEDSMH,pvalue_BUSTEDS,delta
ENSGT00390000002713.Euteleostomi.001.nex,0.5,0.154739473283499,0.345260526716501
ENSGT00390000002563.Euteleostomi.002.nex,0.5,0.5,0.0
ENSGT00390000004798.Euteleostomi.001.nex,0.5,0.4404472915942327,0.05955270840576732
ENSGT00390000002997.Euteleostomi.003.nex,0.4782234594930651,0.4763989561298124,0.001824503363252683
ENSGT00390000004323.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000003646.Euteleostomi.002.nex,0.5,0.5,0.0
ENSGT00390000002205.Euteleostomi.002.nex,0.5,0.5,0.0
ENSGT00390000002112.Euteleostomi.001.nex,0.5,0.463421039928782,0.036578960071218025
ENSGT00390000003721.Euteleostomi.002.nex,0.009910372842889703,0.0004177645374318639,0.00949260830545784
ENSGT00390000000699.Euteleostomi.001.nex,0.07361880320292713,0.1759423222578719,-0.10232351905494477
ENSGT00390000004199.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000003592.Euteleostomi.001.nex,0.4727339837016508,0.1676689391400982,0.3050650445615526
ENSGT00390000004226.Euteleostomi.001.nex,0.5,0.4898397047758993,0.010160295224100724
ENSGT00390000003188.Euteleostomi.001.nex,0.5,0.001654068974585532,0.49834593102541447
ENSGT00390000004522.Euteleostomi.001.nex,0.483678683538719,0.5,-0.016321316461280988
ENSGT00390000004990.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000003255.Euteleostomi.001.nex,0.4176019038391535,0.05999121920691586,0.35761068463223766
ENSGT00390000004010.Euteleostomi.003.nex,0.5,0.5,0.0
ENSGT00390000004624.Euteleostomi.002.nex,0.5,0.5,0.0
ENSGT00390000004454.Euteleostomi.001.nex,0.4287692967310485,0.06943012891623468,0.35933916781481384
ENSGT00390000001775.Euteleostomi.001.nex,0.1682330700299582,0.02414229576746496,0.14409077426249323
ENSGT00390000005075.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000001878.Euteleostomi.001.nex,0.4263450592799947,0.47220178574785,-0.04585672646785527
ENSGT00390000000089.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000001071.Euteleostomi.001.nex,0.4215703791357874,0.3508203946935654,0.07074998444222197
ENSGT00390000003427.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000003856.Euteleostomi.001.nex,0.02384500803344669,0.006789489968901885,0.017055518064544806
ENSGT00390000000843.Euteleostomi.001.nex,0.4818597224167901,0.4982970728566377,-0.01643735043984762
ENSGT00390000001116.Euteleostomi.001.nex,0.5,0.1461023669661226,0.3538976330338774
ENSGT00390000001046.Euteleostomi.004.nex,0.2143292417267136,0.06404133186261896,0.15028790986409465
ENSGT00390000000924.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000004237.Euteleostomi.001.nex,0.5,0.4675600686228524,0.032439931377147624
ENSGT00390000000537.Euteleostomi.001.nex,0.5,0.3868179233687594,0.11318207663124058
ENSGT00390000000596.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000000292.Euteleostomi.001.nex,0.5,0.05635254545944141,0.4436474545405586
ENSGT00390000003287.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000001670.Euteleostomi.001.nex,0.5,0.0429886871058629,0.4570113128941371
ENSGT00390000001400.Euteleostomi.002.nex,0.5,0.5,0.0
ENSGT00390000001612.Euteleostomi.001.nex,0.5,0.3166339268069965,0.18336607319300352
ENSGT00390000003800.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000000406.Euteleostomi.001.nex,0.07414097156696542,0.004783217263361839,0.06935775430360358
ENSGT00390000000568.Euteleostomi.002.nex,0.5,0.001410471351103393,0.4985895286488966
ENSGT00390000003413.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000002032.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000000464.Euteleostomi.001.nex,0.5,0.5,0.0
ENSGT00390000004114.Euteleostomi.002.nex,0.5,0.0377864797998782,0.4622135202001218
