Filename,delta_cAIC
ENSGT00390000003209.Euteleostomi.001.nex,139.50383236219932
ENSGT00390000003715.Euteleostomi.001.nex,141.69476869835125
ENSGT00390000003379.Euteleostomi.001.nex,115.62689956158101
ENSGT00390000005351.Euteleostomi.001.nex,183.5582199620494
ENSGT00390000002659.Euteleostomi.001.nex,275.24237280315356
ENSGT00390000004746.Euteleostomi.001.nex,219.92502485437035
ENSGT00390000003287.Euteleostomi.001.nex,69.22113691804498
ENSGT00390000009849.Euteleostomi.001.nex,181.86050569508006
ENSGT00390000001761.Euteleostomi.001.nex,311.1378796235631
ENSGT00390000007212.Euteleostomi.001.nex,152.81850454977666
ENSGT00390000010309.Euteleostomi.001.nex,211.28090379151035
ENSGT00390000000376.Euteleostomi.001.nex,282.3033424391497
ENSGT00390000007639.Euteleostomi.001.nex,118.9285386440497
ENSGT00390000000097.Euteleostomi.002.nex,126.24869045769992
ENSGT00390000010722.Euteleostomi.001.nex,221.54305900192776
ENSGT00390000008196.Euteleostomi.001.nex,237.3353822805766
ENSGT00390000010652.Euteleostomi.001.nex,123.63496584377026
ENSGT00390000009163.Euteleostomi.001.nex,76.8665964089887
ENSGT00390000000288.Euteleostomi.001.nex,137.16823946911973
ENSGT00390000000509.Euteleostomi.001.nex,143.25595916298334
ENSGT00390000006416.Euteleostomi.001.nex,158.03763037047975
ENSGT00390000006451.Euteleostomi.001.nex,299.376277239262
ENSGT00390000001159.Euteleostomi.001.nex,164.90328635871992
ENSGT00390000008385.Euteleostomi.001.nex,8.116767887320748
ENSGT00390000001029.Euteleostomi.001.nex,238.94128038150302
ENSGT00390000010531.Euteleostomi.001.nex,118.04557724000801
ENSGT00390000001445.Euteleostomi.001.nex,165.95465186062938
ENSGT00390000007046.Euteleostomi.001.nex,24.836867165872718
ENSGT00390000006521.Euteleostomi.001.nex,223.90289985114032
ENSGT00390000010697.Euteleostomi.002.nex,88.21984707322554
ENSGT00390000008767.Euteleostomi.001.nex,341.0196215156884
ENSGT00390000006265.Euteleostomi.002.nex,67.56793525674948
ENSGT00390000010194.Euteleostomi.001.nex,-30.34268200150109
ENSGT00390000005996.Euteleostomi.001.nex,208.88554943005147
